"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","test[SQ001]","beethovenhammerklav[L001]","islamei[L001]","waldstein3[L001]","albse1[L001]","beethovenlesadieux1[L001]","brahmsopus12[L001]","mond3[L001]","albesp1[L001]","bach847[L001]","brim6[L001]","interviewtime","groupTime3","testTime","groupTime2","beethovenhammerklavTime","islameiTime","waldstein3Time","albse1Time","beethovenlesadieux1Time","brahmsopus12Time","mond3Time","albesp1Time","bach847Time","brim6Time"
"11","2017-10-29 01:06:23","11","en","2017-10-29 01:01:45","2017-10-29 01:06:23","::ffff:71.59.32.20","http://m.facebook.com","T1","A1","A3","A4","A5","A1","A1","A4","A2","A5","A2","283.11","","12.28","","14.88","20.19","31.17","18.59","28.15","17.38","34.76","41.81","32.27","31.63"
"12","2017-10-29 01:50:19","11","en","2017-10-29 01:45:38","2017-10-29 01:50:19","::ffff:24.6.172.180","","T1","A1","A4","A4","A3","A2","A2","A3","A4","A5","A3","286.64","","23.12","","43.11","13.35","41.6","35.63","24.68","19.59","29.74","24.13","18.83","12.86"
"13","2017-10-29 02:28:43","11","en","2017-10-29 02:24:08","2017-10-29 02:28:43","::ffff:73.237.197.48","http://m.facebook.com/","T1","A1","A3","A4","A4","A3","A2","A5","A2","A3","A4","278.02","","18.31","","35.03","11.3","37.3","17.73","32.35","24.42","22.26","16.08","33","30.24"
"14","","5","en","2017-10-29 02:25:23","2017-10-29 02:32:21","::ffff:173.246.222.34","http://m.facebook.com","T1","","","","A5","","A2","","A3","","A3","306.12","","24.47","","","","","69.9","","67.84","","49.7","","94.21"
"15","2017-10-29 02:32:23","11","en","2017-10-29 02:29:21","2017-10-29 02:32:23","::ffff:174.218.0.29","http://m.facebook.com","T1","A2","A4","A3","A4","A2","A2","A3","A4","A5","A3","187.13","","21.27","","11.56","21.46","13.65","12.88","15.09","23.37","12.63","17.3","13.66","24.26"
"16","2017-10-29 02:58:30","11","en","2017-10-29 02:52:35","2017-10-29 02:58:30","::ffff:73.237.196.242","http://m.facebook.com","T1","A1","A3","A4","A3","A2","A1","A2","A2","A3","A3","362.47","","15.53","","21.91","36.78","36.32","42.77","38.89","21.78","54.79","27.82","27.79","38.09"
"17","2017-10-29 03:17:58","11","en","2017-10-29 03:11:08","2017-10-29 03:17:58","::ffff:174.218.0.140","http://m.facebook.com","T1","A2","A3","A4","A4","A4","A2","A2","A3","A3","A2","415.63","","16.55","","61.54","26.48","30.12","38.49","42.65","62.06","36.34","29.1","31.85","40.45"
"18","2017-10-29 03:32:52","11","en","2017-10-29 03:28:12","2017-10-29 03:32:52","::ffff:94.76.54.28","","T1","A2","A5","A4","A4","A3","A2","A2","A3","A2","A3","283.62","","24.84","","36.68","14.02","10.7","16.81","43.95","39.02","21.47","33","22.96","20.17"
"19","2017-10-29 19:41:26","11","en","2017-10-29 19:38:50","2017-10-29 19:41:26","::ffff:71.204.165.197","","T1","A2","A3","A4","A4","A3","A2","A4","A4","A4","A3","162.79","","12.87","","12.14","9.73","10.65","12.62","16.85","31.48","21.54","9.37","10.64","14.9"
"20","2017-10-29 21:52:58","11","en","2017-10-29 21:44:59","2017-10-29 21:52:58","::ffff:42.109.36.102","","T1","A1","A5","A4","A5","A4","A1","A2","A2","A3","A2","483.32","","82.91","","29.27","25.8","41.99","37.52","44.1","37.84","38.93","45.73","57","42.23"
"21","","1","en","2017-10-30 03:02:16","2017-10-30 03:03:17","::ffff:73.7.51.147","","T2","","","","","","","","","","","61.45","","61.45","","","","","","","","","","",""
"22","2017-10-30 03:50:12","11","en","2017-10-30 03:47:15","2017-10-30 03:50:12","::ffff:24.6.172.180","","T1","A2","A4","A2","A4","A1","A2","A4","A3","A5","A3","182.59","","39.37","","16.25","23.42","14.93","12.87","14.25","11.55","14.23","10.78","11.32","13.62"
"23","2017-10-30 04:45:24","11","en","2017-10-30 04:42:19","2017-10-30 04:45:24","::ffff:172.56.38.155","android-app://com.google.android.gm","T1","A2","A4","A3","A3","A3","A2","A4","A3","A4","A3","190.41","","18.72","","17.26","13.41","13.33","23.65","19.46","17.83","19.03","14.84","16.09","16.79"
"24","","","en","2017-10-30 14:07:03","2017-10-30 14:07:03","::ffff:174.218.2.151","","","","","","","","","","","","","0","","","","","","","","","","","","",""
"25","2017-10-30 17:51:45","11","en","2017-10-30 17:48:57","2017-10-30 17:51:45","::ffff:97.80.170.47","","T1","A1","A4","A4","A4","A2","A2","A3","A4","A4","A3","169.92","","12.07","","23.22","24.36","10.97","12.95","18.17","12.2","16.06","15.13","9.54","15.25"
"26","2017-10-31 00:18:19","11","en","2017-10-31 00:14:00","2017-10-31 00:18:19","::ffff:173.24.245.177","","T1","A1","A2","A5","A4","A4","A2","A4","A4","A3","A3","263.21","","12.72","","27.51","22.86","39.99","17.33","16.78","26.13","33.22","26.94","18.28","21.45"
"27","2017-10-31 00:28:34","11","en","2017-10-31 00:24:35","2017-10-31 00:28:34","::ffff:104.188.181.247","https://l.facebook.com/","T1","A2","A3","A3","A3","A3","A2","A4","A3","A5","A2","245.07","","59.68","","17.36","16.77","15.21","18.8","25.74","22.36","14.66","14.58","15.16","24.75"
"28","2017-10-31 00:51:42","11","en","2017-10-31 00:48:34","2017-10-31 00:51:42","::ffff:207.242.51.98","https://l.messenger.com/","T1","A2","A5","A2","A3","A4","A1","A5","A4","A2","A3","191.29","","13.44","","19.97","19.09","33.05","15.77","29.76","13","9.25","12.27","11.6","14.09"
"29","2017-10-31 01:00:30","11","en","2017-10-31 00:54:31","2017-10-31 01:00:30","::ffff:121.6.130.235","","T1","A1","A3","A2","A4","A2","A1","A5","A3","A4","A3","363.33","","19.51","","96.12","12.76","26.12","25.7","25.04","81.4","26.89","11.98","16.98","20.83"
"30","2017-10-31 01:18:57","11","en","2017-10-31 01:15:34","2017-10-31 01:18:57","::ffff:73.54.252.45","","T1","A1","A4","A4","A4","A2","A2","A3","A4","A3","A2","207.56","","18.48","","14.13","22.36","11.77","26.3","20","28.41","17.87","15.6","19.5","13.14"
"31","2017-10-31 02:17:29","11","en","2017-10-31 02:12:47","2017-10-31 02:17:29","::ffff:73.82.67.47","https://m.facebook.com/","T1","A2","A3","A4","A5","A3","A1","A4","A3","A3","A4","287.02","","22.09","","19.46","29.34","23.47","10.49","23.31","34.08","38.16","26.22","35.43","24.97"
"32","2017-10-31 02:35:17","11","en","2017-10-31 02:29:18","2017-10-31 02:35:17","::ffff:73.7.51.147","","T1","A1","A4","A4","A4","A3","A1","A2","A2","A2","A4","363.81","","8.65","","34.44","38.5","33.02","34.46","33.41","34.33","34.64","44.45","34.56","33.35"
"33","2017-10-31 03:57:26","11","en","2017-10-31 03:49:33","2017-10-31 03:57:26","::ffff:49.35.20.81","","T1","A2","A3","A4","A4","A2","A2","A4","A3","A4","A2","477.21","","39.76","","51.71","54.8","42.22","36.76","41.46","39.98","37.03","42.16","42.38","48.95"
"34","2017-10-31 04:10:36","11","en","2017-10-31 04:01:35","2017-10-31 04:10:36","::ffff:193.188.122.189","","T1","A1","A4","A4","A5","A2","A1","A3","A2","A5","A4","546.11","","38.26","","49.85","40.27","53.26","38.49","64.86","39.45","37.76","51.52","34.34","98.05"
"35","2017-10-31 04:25:23","11","en","2017-10-31 04:20:00","2017-10-31 04:25:23","::ffff:24.197.166.43","http://m.facebook.com","T1","A2","A5","A4","A3","A2","A1","A5","A4","A5","A3","326.75","","132.39","","22.96","13.16","18.85","14.76","43","18.66","16.09","18.07","15.1","13.71"
"36","","","en","2017-10-31 08:33:26","2017-10-31 08:33:26","::ffff:106.51.21.24","","","","","","","","","","","","","0","","","","","","","","","","","","",""
"37","","1","en","2017-10-31 08:48:28","2017-10-31 08:48:41","::ffff:27.59.99.135","","T1","","","","","","","","","","","13.19","","13.19","","","","","","","","","","",""
"38","2017-10-31 10:47:53","11","en","2017-10-31 10:43:16","2017-10-31 10:47:53","::ffff:172.125.166.244","","T1","A2","A3","A4","A4","A4","A2","A4","A4","A3","A4","288.41","","17.63","","29.81","56.6","13.6","19.53","47.09","13.68","16.99","11.32","15.93","46.23"
"39","","1","en","2017-10-31 17:00:33","2017-10-31 17:01:15","::ffff:49.35.8.178","","T2","","","","","","","","","","","41.37","","41.37","","","","","","","","","","",""
"40","2017-10-31 19:43:41","11","en","2017-10-31 19:38:20","2017-10-31 19:43:41","10.100.120.255","http://www.thoughtstream.net/experiment/index.php/664145?lang=en","T1","A2","A4","A4","A4","A3","A2","A5","A3","A2","A4","326.81","","9.42","","36.55","27.87","30.68","35.03","35.65","42.8","17.25","26.65","33.7","31.21"
"41","2017-10-31 20:41:55","11","en","2017-10-31 20:37:42","2017-10-31 20:41:55","::ffff:199.201.64.135","","T1","A2","A4","A4","A4","A3","A2","A3","A3","A3","A3","259","","21.84","","16.75","25.92","12.59","18.79","22.82","35.04","29.6","26.95","17.71","30.99"
"42","2017-10-31 20:57:04","11","en","2017-10-31 20:53:24","2017-10-31 20:57:04","::ffff:76.184.154.23","","T1","A1","A4","A4","A3","A2","A1","A1","A3","A5","A3","224.43","","18.27","","17.43","17.66","14.02","18.84","24.32","15.61","28.12","33.11","18.25","18.8"
"43","","","en","2017-11-01 21:30:45","2017-11-01 21:30:45","::ffff:107.77.104.76","","","","","","","","","","","","","0","","","","","","","","","","","","",""
"44","2017-11-02 13:16:16","11","en","2017-11-02 13:09:53","2017-11-02 13:16:16","::ffff:47.36.48.117","","T1","A2","A3","A3","A3","A3","A2","A3","A3","A3","A3","388.84","","17.6","","40.45","40.94","36.65","33.86","41.62","36.96","32.94","35.37","36.57","35.88"
"45","","","en","2017-11-04 01:58:53","2017-11-04 01:58:53","::ffff:119.94.73.151","","","","","","","","","","","","","0","","","","","","","","","","","","",""
"46","2017-11-04 02:36:12","11","en","2017-11-04 02:27:59","2017-11-04 02:36:12","::ffff:119.94.73.151","","T1","A2","A4","A3","A3","A3","A2","A4","A3","A4","A4","442.33","","39.1","","43.17","40.6","48.99","38.9","38.54","42.54","39.18","41.16","41","29.15"

